,text,result
0,wow yall needa step apple rt heynyla music snapchat damn time thank,Negative
1,happened apple inc httptcou aapl apple moneypress httptcowxkmmtmarw,Neutral
2,thank u apple compile pics communicate one place httptcooya,Positive
3,oddly uplifting story apple cofounder sold stake aapl aapl httptcopj,Neutral
4,apple exchange iphone different color lmao changed mind,Neutral
5,rt jpdesloges apple acted unfairly suppressing digital music competition paul kedrosky aapl aapl httptco,Negative
6,lets forget press effects stock apple defend ipod antitrust suit httptco,Neutral
7,apple inc deleted songs rival services ipods httptcox aapl,Negative
8,teamcavuto apple theyre staging die ar apple store iphone,Neutral
9,happy monday camera fancy apple plus suddenly stopped working weekend instead meme httptcoxdysgcxuuv,Negative
10,facebook ceo mark zuckerberg criticizes apple aapl aapl httptcoevrsnvdexe,Negative
11,fuck apple,Negative
12,apple need sort phones,Negative
13,onerepublic apple feet keep flying,Neutral
14,markzuckerbergf facebook tim cook apple sparring plz talk real connectivity web httptcox,Neutral
15,apple youre shit fix problem,Negative
16,apple supplier skyworks still buy swks aapl brcm mu qcom vti httptcoycxomnmhqo,Neutral
17,theyre rt naivana_ gotta kidding apple httptco,Negative
18,expect apple aapl aapl httptcoh,Neutral
19,confirmed bose speakers returning apple stores removal earlier year httptcotvq aapl beatselectronics,Neutral
20,apple oh fair think youre really mean,Negative
21,competition wireless carriers benefits apple inc motley fool aapl httptcovxr,Neutral
22,apple store georgetown sell refurbd ipads new refurbs available online,Neutral
23,battery already within minutes usage fix apple,Negative
24,uberfacts think reasons fuck apple,Negative
25,long really take phone ship apple smh,Negative
26,brwnskin_beauti cause fuck apple,Negative
27,lanadelreystan kill apple,Negative
28,the_hiit_coach weightsmate apple similar existing app called cardio guru interestingly maybe apple noticed,Neutral
29,aaplpale hoarse steve jobs defends apple videotaped deposition ipodhttptcotdo,Neutral
30,apple ur disgrace,Negative
31,apple ipad update ios absolute disaster nothing works right anymore safari crashes constantly ifail,Negative
32,aaplapple trial continues without plaintiff nowhttptcohkpz,Neutral
33,finally brooklyn getting apple store aapl httptco httptcobsrlbax,Positive
34,rt swiftkey excited named apples app store best list year httptcouf apple,Positive
35,best link day usemuzli tech facebook ceo mark zuckerberg goes tim_cook apple appadvice httptcocdnzcthrla,Neutral
36,pcaudiolabs apple emanon records apple premium product average product premium price,Negative
37,realised reason apple make huge phones fked safari allowing us hide address bar,Negative
38,apple yall shitty,Negative
39,finally updated ios happened ha weird glitch fix please apple httptcoyfez,Negative
40,rt jopocop thestreet apple gets price target boost back strong iphone demand aapl httptcoqtgibddq,Neutral
41,make apple special aapl httptcokmelu,Neutral
42,swerviinnn apple clearly sign u favor,Neutral
43,apple macos yosemite buggy piece shit makes miss,Negative
44,im surprised isnt talk looked like flash crash aapl yesterday biggest range years largely ignored,Negative
45,shockingly imessage desktop fucked great work apple seriously point network services,Negative
46,hell mean apple one day skype wont let login cant even open app httptcomzx,Negative
47,tryng get back snapchat app store isnt cooperating apple,Negative
48,apple adds new flyover locations maps siri movie showtimes countries ios blog httptcoalk aapl,Neutral
49,apple fucking let everyone name group chats things please thanks,Negative
50,dougluberts apple gb version,Neutral
51,apple chargers suck,Negative
52,questions every cio ask apple iwatch httptcocmlz,Neutral
53,rt saigeist offensive thing lack trashcan emoji stop discrimination apple,Negative
54,apple fuck,Negative
55,rt jpdesloges higher price targets helping apples shares aapl aapl httptcoed,Negative
56,apple heads trial itunes update aapl httptcobevwxgycvk,Neutral
57,aaplnew farreaching apple patent reveals next iphone may demonstrate chttptco,Neutral
58,apple nyc grand central store bad comes service th street much much better,Negative
59,im happy apple,Negative
60,rt adage watch weekends new tv ads radioshack apple httptcopl,Neutral
61,tehhgoat apple accident blocked,Negative
62,real tired charger breaking every month apple,Negative
63,apple important stock earth httptcos aapl httptco,Neutral
64,apple get shit together hate,Negative
65,nasdaq big fall fb baba twtr linkd apple fell monday see whether follow,Negative
66,fucking faggots apple,Negative
67,u android ios aapl samsung aapl applepay apple goodmore givingtuesday stonersports sos flashvsarrow stocks,Neutral
68,honestly fuuuuccckkkk apple httptcovreguj,Negative
69,apple stop liking man,Negative
70,sscomposer apple seems ignore key presses like command r thing,Negative
71,rt jpdesloges apple fibonacci technicals levels last intraday update aapl aapl httptcotlzxolfzg,Neutral
72,note apple mail still trouble sending last update didnt fix mail doesnt send useful,Negative
73,brettgilmour apple youre one apparently based last interview carmilevy,Neutral
74,macbook todaycharger broken help please apple,Negative
75,google may big winner lausds ipad scandal httptcor via bw aapl,Neutral
76,fuck u apple dropped new got sctratched im done apple fucking fragile,Negative
77,plus shortage hurt apple apple christmas monday december httptcouarms,Neutral
78,britt_bumgarner briannalengy mean didnt auto correct really fault apple,Negative
79,aapl buy reiterated target raised bank america merrill lynch aapl brief explanation httpstcov aapl,Neutral
80,fuck type shit apple autocorrect siri httptcosuepz,Negative
81,left hoos got iphones dire apple suck ur mum,Negative
82,brycehendersonn wow technology stevejobs gamergate ign machinima gameinformer apple megaherts got,Neutral
83,companies growing faster apple inc httptco aapl,Neutral
84,apple yosemiteproblems erases saved pass words every day getting annoying,Negative
85,apple apple tech support nice free stuff sucks ringtone issue though,Positive
86,apple releases safari httptcot aapl,Neutral
87,early apple employee bill fernandez shares details steve jobs creation apple ii httptco aapl,Neutral
88,aapl passes billion market cap setting new record details httptcozsrpz aapl apple stocks record news,Neutral
89,cant believe apple said melted keys mac pro warranty machine less year old asking é repair,Negative
90,fuck apple,Negative
91,posted photos facebook album wow talks passion design london design festival apple httptcoocmt,Neutral
92,use continuity know mobile httptcosmnebee aapl,Neutral
93,swiftkey apple oh wish guys would port hebrew android version already swapping abck forth,Negative
94,apples iphone plus amazingly captures phablet market right gate aapl aapl httptco,Positive
95,aapl providing another great entry point lt,Positive
96,lisapjackson stats use apples recycling program,Neutral
97,aaplcorporate earnings contract short apple best kasshttptcoth,Neutral
98,ayo apple think u create video message option carlabarlacakes doesnt answer facetime leave video mail,Neutral
99,power apple strong branding store design one photo httptcocjobpvzezk via qz httptco,Neutral
100,yo apple fix shitty imessage,Negative
101,hate apple httptcoibpyjxaouw aapl longterm_larry,Negative
102,hey apple even thinking fixing wifi issues yosemiteproblems,Negative
103,sharksbeauty apple lemme get blondes number,Neutral
104,aaplapple inc international business machines corp exxon mobil corporahttptcoc,Neutral
105,tech stocks could soar motley fool goog aapl fb httptcoxtzx,Neutral
